linea 180 la orden de produccion OC-8151	 con rangos 185632 y 185632 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1484 12/01/2013
linea 181 la orden de produccion OC-8152	 con rangos 185621 y 185616 se recopilan 0 series de 6 de la orden con modelo PCGHIA-1476 12/01/2013
linea 182 la orden de produccion DF-1358	 con rangos 185625 y 185622 se recopilan 0 series de 4 de la orden con modelo PCGHIA-1476 12/01/2013
linea 183 la orden de produccion DF-1359	 con rangos 185631 y 185628 se recopilan 0 series de 4 de la orden con modelo PCGHIA-1575 12/01/2013
linea 184 la orden de produccion DF-1361	 con rangos 185639 y 185634 se recopilan 0 series de 6 de la orden con modelo PCGHIA-1575 14/01/2013
linea 185 la orden de produccion DF-1363	 con rangos 185644 y 185644 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1575 14/01/2013
linea 186 la orden de produccion OC-8154	 con rangos 185633 y 185633 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1586 14/01/2013
linea 187 la orden de produccion OC-8156	 con rangos 185642 y 185640 se recopilan 0 series de 3 de la orden con modelo PCGHIA-1575 14/01/2013
linea 188 la orden de produccion OC-8158	 con rangos 185643 y 185643 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1484 14/01/2013
linea 189 la orden de produccion OC-8161	 con rangos 185645 y 185645 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1575 14/01/2013
linea 190 la orden de produccion OC-8162	 con rangos 185647 y 185646 se recopilan 0 series de 2 de la orden con modelo PCGHIA-1484 15/01/2013
linea 191 la orden de produccion OC-8164	 con rangos 185705 y 185697 se recopilan 0 series de 9 de la orden con modelo PCGHIA-1486 15/01/2013
linea 192 la orden de produccion OC-8165	 con rangos 185654 y 185652 se recopilan 0 series de 3 de la orden con modelo PCGHIA-1517 15/01/2013
linea 193 la orden de produccion OC-8166	 con rangos 185660 y 185655 se recopilan 0 series de 6 de la orden con modelo PCGHIA-1574 15/01/2013
linea 194 la orden de produccion OC-8167	 con rangos 185662 y 185661 se recopilan 0 series de 2 de la orden con modelo PCGHIA-1585 15/01/2013
linea 195 la orden de produccion OC-8168	 con rangos 185718 y 185709 se recopilan 0 series de 10 de la orden con modelo PCGHIA-1481 15/01/2013
linea 196 la orden de produccion OC-8169	 con rangos 185725 y 185721 se recopilan 0 series de 5 de la orden con modelo PCGHIA-1535 15/01/2013
linea 197 la orden de produccion OC-8170	 con rangos 185696 y 185663 se recopilan 0 series de 34 de la orden con modelo PCGHIA-1480 15/01/2013
linea 198 la orden de produccion DF-1365	 con rangos 185651 y 185648 se recopilan 0 series de 4 de la orden con modelo PCGHIA-1584 15/01/2013
linea 199 la orden de produccion DF-1366	 con rangos 185720 y 185719 se recopilan 0 series de 2 de la orden con modelo PCGHIA-1538 15/01/2013
